date,YYYYMMDD,fezile_dabi,lejweleputswa,mangaung,xhariep,thabo_mofutsanyana,total,Recoveries,Deaths,source
12-06-2020,20200612,43,28,200,85,44,400,208,10,https://twitter.com/fs_health/status/1271784003033538560/photo/1
15-06-2020,20200615,56,43,218,102,59,480,226,11,https://twitter.com/fs_health/status/1272840571669958658/photo/1
16-06-2020,20200616,68,46,222,103,60,501,226,11,https://twitter.com/fs_health/status/1272964849572753415/photo/1
17-06-2020,20200617,72,56,252,106,68,556,236,11,https://twitter.com/fs_health/status/1273345722126086144/photo/1
18-06-2020,20200618,98,67,261,111,83,621,262,11,https://twitter.com/fs_health/status/1273834753037422593/photo/1
20-06-2020,20200620,112,75,270,124,97,679,266,11,https://twitter.com/fs_health/status/1274667566422732800
22-06-2020,20200622,122,85,295,127,111,741,294,12,https://twitter.com/fs_health/status/1275506324487487495/photo/1
24-06-2020,20200624,125,98,305,127,118,774,318,12,https://twitter.com/fs_health/status/1275309479119200256/photo/1
25-06-2020,20200625,139,107,327,128,123,842,354,12,FS DOH Direct
25-06-2020,20200625,139,107,327,128,123,842,354,12,FS DOH Direct
26-06-2020,20200626,151,111,331,128,131,869,356,12,FS DOH Direct
27-06-2020,20200627,160,124,345,133,134,913,381,13,FS DOH Direct
28-06-2020,20200628,170,137,357,136,143,961,385,17,FS DOH Direct
29-06-2020,20200629,193,165,379,141,155,1056,385,18,FS DOH Direct
30-06-2020,20200630,208,179,411,143,170,1134,386,18,FS DOH Direct
01-07-2020,20200701,218,200,421,149,177,1188,396,18,FS DOH Direct
02-07-2020,20200702,342,304,533,160,236,1578,396,19,FS DOH Direct
03-07-2020,20200703,436,364,622,172,260,1860,425,19,FS DOH Direct
04-07-2020,20200704,463,419,691,185,275,2103,455,19,FS DOH Direct
05-07-2020,20200705,526,482,774,190,298,2351,528,19,FS DOH Direct
06-07-2020,20200706,577,546,849,192,332,2546,528,19,FS DOH Direct
07-07-2020,20200707,603,617,920,199,373,2803,565,19,FS DOH Direct
08-07-2020,20200708,648,690,999,204,394,3034,565,19,FS DOH Direct
09-07-2020,20200709,763,902,1257,218,452,3724,673,19,FS DOH Direct
10-07-2020,20200710,837,1024,1466,233,513,4221,681,19,FS DOH Direct
11-07-2020,20200711,906,1183,1683,239,568,4679,687,19,FS DOH Direct
12-07-2020,20200712,1031,1341,1796,248,642,5224,746,35,FS DOH Direct
13-07-2020,20200713,1110,1485,1930,253,693,5632,786,42,FS DOH Direct
14-07-2020,20200714,1164,1553,2057,259,748,5973,968,42,FS DOH Direct
15-07-2020,20200715,1243,1708,2315,281,814,6561,1033,42,FS DOH Direct
16-07-2020,20200716,1354,2010,2552,294,905,7312,1055,47,FS DOH Direct
17-07-2020,20200717,1558,2319,3003,315,1043,8290,1063,47,FS DOH Direct
18-07-2020,20200718,1662,2500,3306,329,1163,9004,1103,57
