state,date,ML,High_90,Low_90
CT,2020-03-31,0.24,2.5500000000000003,0.0
CT,2020-04-01,0.26,1.84,0.0
CT,2020-04-02,0.3,1.67,0.0
CT,2020-04-03,0.3,1.5,0.0
CT,2020-04-04,0.32,1.44,0.0
CT,2020-04-05,0.33,1.3900000000000001,0.0
CT,2020-04-06,0.37,1.4000000000000001,0.0
CT,2020-04-07,0.48,1.45,0.0
CT,2020-04-08,0.6,1.5,0.0
CT,2020-04-09,0.71,1.55,0.01
CT,2020-04-10,0.9,1.69,0.04
CT,2020-04-11,1.01,1.8,0.12
CT,2020-04-12,1.09,1.86,0.17
CT,2020-04-13,1.12,1.8900000000000001,0.23
CT,2020-04-14,1.1400000000000001,1.9100000000000001,0.28
CT,2020-04-15,1.1500000000000001,1.8800000000000001,0.27
CT,2020-04-16,1.26,2.0100000000000002,0.43
CT,2020-04-17,1.32,2.0300000000000002,0.49
CT,2020-04-18,1.42,2.11,0.62
CT,2020-04-19,1.46,2.16,0.73
CT,2020-04-20,1.54,2.19,0.81
CT,2020-04-21,1.72,2.35,1.03
CT,2020-04-22,1.85,2.43,1.17
CT,2020-04-23,1.92,2.47,1.28
CT,2020-04-24,1.86,2.39,1.26
CT,2020-04-25,1.76,2.27,1.19
CT,2020-04-26,1.6600000000000001,2.15,1.1
CT,2020-04-27,1.82,2.3000000000000003,1.29
CT,2020-04-28,1.87,2.32,1.35
CT,2020-04-29,1.99,2.42,1.49
CT,2020-04-30,2.02,2.43,1.55
CT,2020-05-01,1.96,2.34,1.5
CT,2020-05-02,1.8,2.16,1.35
CT,2020-05-03,1.55,1.9100000000000001,1.12
CT,2020-05-04,1.27,1.6500000000000001,0.87
CT,2020-05-05,1.25,1.6,0.81
CT,2020-05-06,1.25,1.6300000000000001,0.85
CT,2020-05-07,1.36,1.71,0.93
CT,2020-05-08,1.55,1.9000000000000001,1.1400000000000001
CT,2020-05-09,1.6600000000000001,2.0100000000000002,1.28
CT,2020-05-10,1.72,2.06,1.36
CT,2020-05-11,1.59,1.9100000000000001,1.23
CT,2020-05-12,1.42,1.73,1.06
CT,2020-05-13,1.34,1.6500000000000001,0.99
CT,2020-05-14,1.25,1.55,0.89
CT,2020-05-15,1.17,1.47,0.81
CT,2020-05-16,1.1500000000000001,1.44,0.78
CW,2020-04-22,2.2800000000000002,4.74,0.0
CW,2020-04-23,1.8900000000000001,3.64,0.03
CW,2020-04-24,1.75,3.21,0.1
CW,2020-04-25,1.54,2.79,0.07
CW,2020-04-26,1.2,2.32,0.0
CW,2020-04-27,1.16,2.2,0.0
CW,2020-04-28,1.04,2.04,0.0
CW,2020-04-29,0.9400000000000001,1.92,0.0
CW,2020-04-30,0.9400000000000001,1.8900000000000001,0.0
CW,2020-05-01,0.86,1.8,0.0
CW,2020-05-02,0.86,1.79,0.0
CW,2020-05-03,0.79,1.72,0.0
CW,2020-05-04,0.79,1.71,0.0
CW,2020-05-05,0.8,1.71,0.0
CW,2020-05-06,0.88,1.76,0.0
CW,2020-05-07,0.9500000000000001,1.8,0.0
CW,2020-05-08,1.08,1.92,0.05
CW,2020-05-09,1.18,2.0300000000000002,0.12
CW,2020-05-10,1.27,2.15,0.24
CW,2020-05-11,1.28,2.14,0.26
CW,2020-05-12,1.3,2.17,0.33
CW,2020-05-13,1.3,2.12,0.31
CW,2020-05-14,1.31,2.13,0.36
CW,2020-05-15,1.27,2.07,0.34
CW,2020-05-16,1.28,2.08,0.38
GR,2020-05-13,0.24,7.1000000000000005,0.0
GR,2020-05-14,2.56,6.3100000000000005,0.0
GR,2020-05-15,1.93,5.01,0.0
GR,2020-05-16,1.6600000000000001,4.34,0.0
OB,2020-05-09,0.24,7.1000000000000005,0.0
OB,2020-05-10,0.28,5.54,0.0
OB,2020-05-11,0.31,4.7700000000000005,0.0
OB,2020-05-12,0.34,4.29,0.0
OB,2020-05-13,0.36,3.96,0.0
OB,2020-05-14,1.56,4.05,0.0
OB,2020-05-15,1.44,3.71,0.0
OB,2020-05-16,1.36,3.46,0.0
WC,2020-05-11,2.2800000000000002,5.76,0.0
WC,2020-05-12,0.3,3.8200000000000003,0.0
WC,2020-05-13,0.34,3.35,0.0
WC,2020-05-14,0.9500000000000001,3.0500000000000003,0.0
WC,2020-05-15,0.37,2.66,0.0
WC,2020-05-16,0.34,2.41,0.0
