date,YYYYMMDD,EC,FS,GP,KZN,LP,MP,NC,NW,WC,UNKNOWN,total,source
05-03-2020,20200305,0,0,0,1,0,0,0,0,0,0,1,
07-03-2020,20200307,0,0,1,1,0,0,0,0,0,0,2,
08-03-2020,20200308,0,0,1,2,0,0,0,0,0,0,3,
09-03-2020,20200309,0,0,1,6,0,0,0,0,0,0,7,
11-03-2020,20200311,0,0,5,7,0,0,0,0,1,0,13,
12-03-2020,20200312,0,0,6,8,0,1,0,0,1,0,16,
13-03-2020,20200313,0,0,10,10,0,1,0,0,3,0,24,
14-03-2020,20200314,0,0,17,11,0,1,0,0,9,0,38,
15-03-2020,20200315,0,0,24,12,0,1,0,0,14,0,51,
16-03-2020,20200316,0,0,31,12,1,2,0,0,16,0,62,
17-03-2020,20200317,0,0,45,16,1,2,0,0,21,0,85,
18-03-2020,20200318,0,0,61,19,1,4,0,0,31,0,116,
19-03-2020,20200319,0,0,76,22,1,5,0,0,46,0,150,
20-03-2020,20200320,0,7,109,23,1,5,0,0,57,0,202,
21-03-2020,20200321,1,7,125,26,1,5,0,0,75,0,240,
22-03-2020,20200322,2,9,132,35,2,5,0,0,89,0,274,
23-03-2020,20200323,2,13,207,60,4,9,2,4,100,1,402,
24-03-2020,20200324,2,18,302,80,4,9,2,5,113,19,554,
25-03-2020,20200325,2,30,319,91,4,8,2,5,183,65,709,
26-03-2020,20200326,5,49,409,134,6,9,2,5,229,79,927,
27-03-2020,20200327,,,,,,,,,,,1170,
28-03-2020,20200328,10,68,533,156,11,10,5,6,271,117,1187,
29-03-2020,20200329,12,72,584,167,12,11,6,6,310,100,1280,
30-03-2020,20200330,12,72,618,171,11,11,3,8,324,96,1326,
31-03-2020,20200331,12,74,633,179,14,12,6,8,325,90,1353,
01-04-2020,20200401,15,76,645,186,14,12,7,9,326,90,1380,
02-04-2020,20200402,17,84,663,206,16,13,7,9,353,94,1462,
03-04-2020,20200403,21,84,672,215,16,13,7,9,374,94,1505,
04-04-2020,20200404,25,85,693,232,18,18,7,11,433,63,1585,
05-04-2020,20200405,31,87,704,246,19,18,8,11,454,77,1655,
06-04-2020,20200406,32,89,713,257,19,18,8,11,462,77,1686,
07-04-2020,20200407,,,,,,,,,,,1749,
08-04-2020,20200408,45,88,782,354,21,21,13,15,495,11,1845,
09-04-2020,20200409,61,93,795,387,22,20,15,15,515,11,1934,
10-04-2020,20200410,68,94,801,412,24,20,15,18,541,10,2003,
11-04-2020,20200411,69,94,813,418,23,20,16,19,546,10,2028,
12-04-2020,20200412,88,96,865,443,23,21,16,19,587,15,2173,
13-04-2020,20200413,104,96,890,465,23,22,16,22,617,17,2272,
14-04-2020,20200414,174,98,909,489,24,22,16,22,643,18,2415,
15-04-2020,20200415,199,97,930,519,25,22,16,23,657,18,2506,
16-04-2020,20200416,220,98,969,539,26,22,16,24,675,16,2605,
17-04-2020,20200417,246,100,1018,591,26,23,16,24,717,22,2783,
18-04-2020,20200418,270,100,1101,604,26,25,16,24,836,32,3034,
19-04-2020,20200419,293,100,1148,617,27,23,16,24,868,42,3158,
20-04-2020,20200420,310,105,1170,639,27,23,18,25,940,43,3300,https://twitter.com/DrZweliMkhize/status/1252311460962852864?s=20
21-04-2020,20200421,345,106,1199,671,27,24,16,24,1010,43,3465,https://twitter.com/DrZweliMkhize/status/1252631607166500866?s=20
22-04-2020,20200422,377,106,1224,758,27,23,16,24,1079,1,3635,https://sacoronavirus.co.za/2020/04/22/update-on-covid-19-22nd-april-2020/
23-04-2020,20200423,417,106,1252,807,27,23,16,25,1279,1,3953,https://sacoronavirus.co.za/2020/04/23/update-on-covid-19-23rd-april-2020-2/
24-04-2020,20200424,480,111,1281,841,29,24,16,25,1413,0,4220,https://twitter.com/nicd_sa/status/1253769210301427713?s=21
25-04-2020,20200425,488,111,1304,841,30,23,16,28,1514,0,4361,https://twitter.com/DrZweliMkhize/status/1254108225991041024?s=20
26-04-2020,20200426,535,110,1331,863,31,23,17,28,1608,0,4546,https://twitter.com/DrZweliMkhize/status/1254477361615187968?s=20
27-04-2020,20200427,588,111,1353,902,31,26,17,31,1737,0,4793,https://twitter.com/drzwelimkhize/status/1254848109794021378?s=21
28-04-2020,20200428,616,113,1377,919,31,26,17,29,1870,0,4996,https://twitter.com/COVID_19_ZA/status/1255200757973909508?s=20
29-04-2020,20200429,630,113,1408,956,31,31,17,29,2135,0,5350,https://sacoronavirus.co.za/2020/04/29/update-on-covid-19-29th-april-2020/
30-04-2020,20200430,647,116,1446,980,32,36,17,31,2342,0,5647,https://sacoronavirus.co.za/2020/04/30/update-on-covid-19-30th-april-2020/
01-05-2020,20200501,691,118,1507,1006,34,35,18,35,2507,0,5951,https://sacoronavirus.co.za/2020/05/01/update-on-covid-19-1st-may-2020/
02-05-2020,20200502,732,121,1598,1051,36,40,23,35,2700,0,6336,
