date,YYYYMMDD,EC,FS,GP,KZN,LP,MP,NC,NW,WC,total,source
2021-02-17,20210217,3,12,27,42,,,20,,53,157,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-02-18,20210218,94,271,392,407,,,196,269,339,1968,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-02-19,20210219,324,558,1398,1286,74,525,490,961,876,6492,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-02-20,20210220,,,1787,,502,1398,579,1502,1598,9534,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-02-21,20210221,562,,2724,,1210,2574,830,2226,2425,14395,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-02-22,20210222,881,1279,4406,2344,2051,3580,1158,3001,3422,22122,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-02-23,20210223,1692,2059,6877,3743,2982,,1452,3931,4800,31116,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-02-24,20210224,2612,2886,9561,5542,4011,3636,1815,5084,6466,41613,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-02-25,20210225,3541,3676,12632,7510,5298,,2096,6224,8148,52761,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-02-26,20210226,4328,4228,16068,9620,6338,3768,2472,6774,9745,63341,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-02-27,20210227,4504,4531,17077,,6900,,2570,6977,10998,66945,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-02-28,20210228,4699,4806,18069,,,,2716,7345,12239,70162,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-01,20210301,4801,5396,,10334,6942,4039,2975,7565,12721,72842,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-02,20210302,5051,5944,18204,10570,7149,4376,3208,7693,13497,75692,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-03,20210303,5700,6755,19736,11917,7866,5158,3418,8055,14527,83132,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-04,20210304,6532,7545,21953,13704,8360,5957,3527,8707,15903,92188,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-05,20210305,7234,7896,24126,15530,8791,6535,3709,9335,16715,99871,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-06,20210306,,7972,24581,,9377,6536,3762,9520,,101227,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-07,20210307,,,,,9518,,3902,,,101508,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-08,20210308,7644,8298,26067,17055,9519,6812,4051,9993,17237,106676,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-09,20210309,8944,9207,28562,19803,9972,7343,4154,10512,18967,117464,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-10,20210310,9982,10149,31642,22230,10534,7889,4236,10903,20485,128050,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-11,20210311,10735,10559,33978,24440,10993,8447,4314,11292,22171,136929,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-12,20210312,11268,11027,35142,25748,11938,8944,4343,11742,23876,144028,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-13,20210313,,,,,,,4352,11782,24097,144298,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-14,20210314,,,35143,,,,,,,144299,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-15,20210315,11992,11646,35834,25784,11957,9037,4356,11861,24499,146966,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-16,20210316,12938,12178,38532,27236,12729,9499,4375,12152,26519,156158,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-17,20210317,13962,12821,41672,29676,13497,9813,4421,12799,28472,167133,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-18,20210318,15431,13227,43939,32271,13697,10338,4505,13330,29418,176156,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-19,20210319,16814,13858,45131,33550,14591,10504,4568,13530,29905,182451,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-20,20210320,,,,,,10505,,,,182452,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-21,20210321,,,45132,,,,,,,182453,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-23,20210323,18289,14313,48693,35862,15386,10762,4666,13893,32200,194064,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-24,20210324,19581,14972,52554,38640,16167,11424,4758,14509,35003,207608,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-25,20210325,21176,15191,55333,41098,16843,12376,4816,15240,37562,219635,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-26,20210326,22739,15597,58198,42558,17406,12864,,15843,40154,230175,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-27,20210327,,,58476,,,,5008,15913,,230715,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-28,20210328,,,,,,,5152,,,230859,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-29,20210329,24310,,59805,43478,18323,12982,5356,16340,42372,238563,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-30,20210330,25881,15839,63161,45832,19226,13880,5494,16638,44787,250738,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-03-31,20210331,27687,16509,65664,48264,20053,14463,,17068,47466,262668,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-04-01,20210401,28753,16581,67272,48624,20129,14757,,17188,48943,267741,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-04-04,20210404,,,,,,,,,48944,267742,https://sacoronavirus.co.za/latest-vaccine-statistics/
