date,YYYYMMDD,male_total_cases,female_total_cases,unknown_sex_total_cases,testing_passive,testing_community_screening,testing_public,testing_private,source
16-05-2020,20200516,6010,8183,162,333484,106075,226387,213272,https://www.nicd.ac.za/wp-content/uploads/2020/05/COVID19-Daily-Report-National-16May2020v1public.pdf
17-05-2020,20200517,6458,8879,178,350005,110868,237255,223618,https://www.nicd.ac.za/wp-content/uploads/2020/05/COVID19-Daily-Report-National-17May2020_public.pdf
18-05-2020,20200518,6820,9424,189,360142,114929,245004,230067,https://www.nicd.ac.za/wp-content/uploads/2020/05/COVID19-Daily-Report-National-18-May-2020_public.pdf
19-05-2020,20200519,7127,9881,192,369702,118907,252799,235810,https://www.nicd.ac.za/wp-content/uploads/2020/05/COVID19-Daily-Report-National-19-May-2020_public.pdf
20-05-2020,20200520,7453,10354,196,384441,122420,261229,245632,https://www.nicd.ac.za/wp-content/uploads/2020/05/COVID19-Daily-Report-National-20May2020_public_final.pdf
21-05-2020,20200521,7930,11008,199,400060,125373,268430,257003,https://www.nicd.ac.za/wp-content/uploads/2020/05/COVID19-Daily-Report-National-21-May-2020_public.pdf
22-05-2020,20200522,8345,11580,200,413430,129602,276924,266108,https://www.nicd.ac.za/wp-content/uploads/2020/05/COVID19-Daily-Report-National-22-May-2020_public.pdf
23-05-2020,20200523,8875,12259,209,429055,135315,287833,276537,https://www.nicd.ac.za/wp-content/uploads/2020/05/COVID19-Daily-Report-National-23May2020_public.pdf
24-05-2020,20200524,9359,13010,214,443242,140613,298401,285454,https://www.nicd.ac.za/wp-content/uploads/2020/05/COVID19-Daily-Report-National-24May2020_public.pdf
25-05-2020,20200525,9874,13535,206,453164,143613,303874,292903,https://www.nicd.ac.za/wp-content/uploads/2020/05/COVID19-Daily-Report-National-25May2020_public.pdf
26-05-2020,20200526,10000,13932,206,460513,145478,306941,299050,https://www.nicd.ac.za/wp-content/uploads/2020/05/COVID19-Daily-Report-National-26May2020_public.pdf
27-05-2020,20200527,10844,14877,216,479978,155018,325006,309990,https://www.nicd.ac.za/wp-content/uploads/2020/05/COVID19-Daily-Report-National-Public-27May2020.pdf
28-05-2020,20200528,11487,15693,223,496377,159346,333444,322279,https://www.nicd.ac.za/wp-content/uploads/2020/05/COVID19-Daily-Report-National-Public-28May2020.pdf
29-05-2020,20200529,12261,16753,226,516056,164119,344341,335834,https://www.nicd.ac.za/wp-content/uploads/2020/05/COVID19-Daily-Report-National-Public-29May2020.pdf
30-05-2020,20200530,13028,17704,235,533646,168237,354375,347508,https://www.nicd.ac.za/wp-content/uploads/2020/05/COVID19-Daily-Report-National-Public-30May2020.pdf
31-05-2020,20200531,13743,18691,249,551934,174191,365951,359174,https://www.nicd.ac.za/wp-content/uploads/2020/06/COVID19-Daily-Report-National-Public-31May2020.pdf
01-06-2020,20200601,14494,19608,255,565483,177259,374542,368200,https://www.nicd.ac.za/wp-content/uploads/2020/06/COVID19-Daily-Report-National-Public-1June2020.pdf
02-06-2020,20200602,15127,20414,271,579086,182448,385452,376082,https://www.nicd.ac.za/wp-content/uploads/2020/06/COVID19-Daily-Report-National-Public-2-June-2020.pdf
03-06-2020,20200603,15837,21405,283,596595,189384,397677,388302,https://www.nicd.ac.za/wp-content/uploads/2020/06/COVID19-Daily-Report-National-Public-3June2020.pdf
04-06-2020,20200604,17179,23300,313,620273,200402,418487,402188,https://www.nicd.ac.za/wp-content/uploads/2020/06/COVID19-Daily-Report-National-Public-4June2020.pdf

10-06-2020,20200610,31578,23436,407,739811,258590,518390,480010,https://www.nicd.ac.za/wp-content/uploads/2020/06/COVID19-Daily-Report-National-Public-10June2020.pdf
